osmid,new_nodes,x,y,geometry
2976031732,2976031732,25.2785404,54.6324774,POINT (25.2785404 54.6324774)
289987155,289987155,25.2743091,54.6412849,POINT (25.2743091 54.6412849)
289987207,289987207,25.2665604,54.6407964,POINT (25.2665604 54.6407964)
1137211508,1137211508,25.2365801,54.7213408,POINT (25.2365801 54.7213408)
33140973,33140973,25.2748949,54.6381009,POINT (25.2748949 54.6381009)
1217752635,1217752635,25.0856794,54.6080569,POINT (25.0856794 54.6080569)
56697759,56697759,25.1158033,54.6476576,POINT (25.1158033 54.6476576)
667350905,667350905,25.3365335,54.7667012,POINT (25.3365335 54.7667012)
1200560830,1200560830,25.2140109,54.7293819,POINT (25.2140109 54.7293819)
3003462682,3003462682,25.2695902,54.646723,POINT (25.2695902 54.646723)
33140980,33140980,25.2646956,54.6302544,POINT (25.2646956 54.6302544)
9276043157,9276043157,25.2868416,54.7134375,POINT (25.2868416 54.7134375)
912155383,912155383,25.224267,54.6478064,POINT (25.224267 54.6478064)
8437471336,8437471336,25.0822592,54.611858,POINT (25.0822592 54.611858)
60984157,60984157,25.3081092,54.6179302,POINT (25.3081092 54.6179302)
510159491,510159491,25.3062412,54.6247954,POINT (25.3062412 54.6247954)
10293378133,10293378133,25.2076961,54.7356336,POINT (25.2076961 54.7356336)
2674597747,2674597747,25.0606928,54.6301602,POINT (25.0606928 54.6301602)
8434374676,8434374676,25.07119,54.6262357,POINT (25.07119 54.6262357)
12200891769,12200891769,25.0708287,54.628385,POINT (25.0708287 54.628385)
1118714192,1118714192,25.2232044,54.7422621,POINT (25.2232044 54.7422621)
